"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000062762",3.47403667244864,11.4857716086535,24.1115782215202,1.04166928501729e-08,3.41870775036503e-06,10.8400277646674
"ENSMUSG00000100863",3.46801386449941,7.03577747000563,7.82376413432314,5.35576744344477e-05,0.000445100672969779,2.09349019491376
"ENSMUSG00000003809",3.46560858913312,10.5728809615174,16.3220114205775,2.17779252344664e-07,1.46211011770222e-05,7.90627743681421
"ENSMUSG00000044734",-3.46067770805462,10.2941676484266,-21.768656053946,2.31906972050734e-08,4.3984411516943e-06,10.0990325087737
"ENSMUSG00000039787",3.43967834235786,7.95197350019661,13.1829484933134,1.12317249609746e-06,3.38009835382415e-05,6.21831738813063
"ENSMUSG00000042821",3.43849439018385,5.38788718577579,11.4835720246235,3.1967771559285e-06,6.61375527607201e-05,5.11737058529948
"ENSMUSG00000044083",3.42126252150303,5.4533593612473,9.35973731122918,1.46438206067923e-05,0.000182135350620173,3.49219176703035
"ENSMUSG00000029763",3.41217249771764,13.4155870028854,18.7198295996056,7.52299025360894e-08,8.75073820280886e-06,8.96618387475376
"ENSMUSG00000083672",-3.40938288266179,3.7046914413309,-9.98730917713546,9.07300096575055e-06,0.000133330280286394,4.0057729340349
"ENSMUSG00000086965",3.40565370533289,7.25838656150373,12.9984585173536,1.25050486220259e-06,3.64303459429169e-05,6.10604146910648
"ENSMUSG00000108852",3.40251045129322,3.70125522564661,5.00826622503196,0.00106739742173021,0.00437696858922663,-1.14554499833011
"ENSMUSG00000021185",3.3892460054576,10.6773485569281,24.7948235817536,8.36677575355437e-09,3.37033413884355e-06,11.0382099230506
"ENSMUSG00000036026",3.36068820043842,10.0826171460991,16.1022667072191,2.41824952260684e-07,1.56673055782379e-05,7.8002404469254
"ENSMUSG00000028737",3.36016417344355,10.62847544219,20.1437132388654,4.25025776556211e-08,6.46794781745984e-06,9.52175102443847
"ENSMUSG00000055748",3.34725234522543,4.69012542336662,7.3474849396418,8.3485972894539e-05,0.000631725903184313,1.61299163543519
"ENSMUSG00000049892",3.34347815461,5.45823063396615,9.94733935642373,9.34655017166347e-06,0.000135892092517094,3.97396076036796
"ENSMUSG00000027663",3.33124155390027,11.0802729394343,22.2867637196856,1.92938103181091e-08,4.29900661721711e-06,10.2716399360772
"ENSMUSG00000066607",3.32945327825546,4.93940408526161,9.2213889948219,1.63337689681604e-05,0.000195548338975459,3.37477282191282
"ENSMUSG00000028051",3.32938791534716,6.76706811965648,12.9621180791975,1.27745017500389e-06,3.6602421750739e-05,6.0837305590561
"ENSMUSG00000083670",3.32695032455949,4.31359266404483,3.52179623645276,0.00792627487233691,0.0210058553892272,-3.28791827360071
"ENSMUSG00000098387",3.32424297881463,3.66212148940731,4.30634292710964,0.00264236749495316,0.00893208368136186,-2.11987049341982
"ENSMUSG00000105147",3.32027861270368,3.66013930635184,9.87862234991519,9.83864707486761e-06,0.000139930461308324,3.91899044782525
"ENSMUSG00000091712",3.30942305476002,4.61521400811131,8.2044538329976,3.81339006095678e-05,0.000348652805573191,2.46068049906368
"ENSMUSG00000094439",3.28495902187181,5.36386844992675,12.0042969836924,2.28748643079454e-06,5.24358728440775e-05,5.47133852018189
"ENSMUSG00000054612",3.28024770192728,7.18660978881492,13.4115728917177,9.85094971361153e-07,3.18204262447225e-05,6.35519957565757
"ENSMUSG00000070337",3.27687876591553,4.98785552391607,9.54298919396272,1.26980935886547e-05,0.000166903157188306,3.64533333332485
"ENSMUSG00000020593",3.26819885922514,10.9444371233404,20.7896926708331,3.32234222055771e-08,5.41699988723313e-06,9.75804983726841
"ENSMUSG00000012017",3.26814999783421,5.63447380757796,11.4369209820221,3.29626856654857e-06,6.73816332648496e-05,5.08488546960295
"ENSMUSG00000004842",3.26619031245935,7.88236316500433,3.92380277983955,0.00446476857473412,0.0133630835663371,-2.67981889430324
